display_name,symbol_name,exchange_id,instrument,underlying_symbol,security_id
SUNPHARMA 30 OCT 1480 PUT,SUNPOPT,BSE,OPTSTK,SUNPHARMA,863282
CROMPTON 30 OCT 285 PUT,CGCLOPT,BSE,OPTSTK,CROMPTON,863284
IIFL 30 OCT 360 CALL,IIFLOPT,BSE,OPTSTK,IIFL,863285
ADANIPORTS 30 OCT 1220 CALL,MPSLOPT,BSE,OPTSTK,ADANIPORTS,863286
LUPIN 30 OCT 1720 PUT,LUPLOPT,BSE,OPTSTK,LUPIN,863287
PNBHOUSING 30 OCT 660 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863289
BANKEX 30 OCT 54300 CALL,BKXOPT,BSE,OPTIDX,BANKEX,863290
GODREJPROP 25 SEP 1700 CALL,GPRLOPT,BSE,OPTSTK,GODREJPROP,863292
HINDPETRO 30 OCT 364.5 PUT,HPCLOPT,BSE,OPTSTK,HINDPETRO,863293
SENSEX50 25 SEP 24750 PUT,SX50OPT,BSE,OPTIDX,SENSEX50,863294
NATIONALUM 30 OCT 145 CALL,NALCOPT,BSE,OPTSTK,NATIONALUM,863295
INDUSTOWER 30 OCT 320 CALL,INFROPT,BSE,OPTSTK,INDUSTOWER,863297
BDL 30 OCT 1200 CALL,BHDLOPT,BSE,OPTSTK,BDL,863298
ICICIGI 30 OCT 1720 PUT,ILGIOPT,BSE,OPTSTK,ICICIGI,863299
TCS 30 OCT 2860 CALL,TCSLOPT,BSE,OPTSTK,TCS,863301
LICI 25 SEP 810 CALL,LICLOPT,BSE,OPTSTK,LICI,863303
PNBHOUSING 30 OCT 820 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863304
LICHSGFIN 30 OCT 510 PUT,LICHOPT,BSE,OPTSTK,LICHSGFIN,863305
SUNPHARMA 25 SEP 1480 CALL,SUNPOPT,BSE,OPTSTK,SUNPHARMA,863306
PNBHOUSING 30 OCT 660 PUT,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863307
PETRONET 25 SEP 250 PUT,PLNGOPT,BSE,OPTSTK,PETRONET,863308
INDUSINDBK 30 OCT 720 PUT,IIBKOPT,BSE,OPTSTK,INDUSINDBK,863309
LUPIN 25 SEP 1720 CALL,LUPLOPT,BSE,OPTSTK,LUPIN,863310
MOTHERSON 25 SEP 77.5 PUT,MSSLOPT,BSE,OPTSTK,MOTHERSON,863311
TCS 25 SEP 2880 PUT,TCSLOPT,BSE,OPTSTK,TCS,863313
INDUSTOWER 30 OCT 325 CALL,INFROPT,BSE,OPTSTK,INDUSTOWER,863314
SRF 30 OCT 2650 PUT,SRFLOPT,BSE,OPTSTK,SRF,863316
IOC 30 OCT 122 PUT,IOCLOPT,BSE,OPTSTK,IOC,863317
SENSEX50 25 SEP 24650 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863318
LICI 25 SEP 810 PUT,LICLOPT,BSE,OPTSTK,LICI,863320
PFC 30 OCT 330 CALL,PFCLOPT,BSE,OPTSTK,PFC,863321
SENSEX 25 SEP 73300 PUT,BSXOPT,BSE,OPTIDX,SENSEX,863322
ICICIGI 25 SEP 1720 CALL,ILGIOPT,BSE,OPTSTK,ICICIGI,863323
TATAPOWER 30 OCT 355 PUT,TATPOPT,BSE,OPTSTK,TATAPOWER,863325
BANKINDIA 30 OCT 92.5 PUT,BOILOPT,BSE,OPTSTK,BANKINDIA,863326
SENSEX50 30 OCT 24650 PUT,SX50OPT,BSE,OPTIDX,SENSEX50,863327
CROMPTON 25 SEP 285 CALL,CGCLOPT,BSE,OPTSTK,CROMPTON,863330
UNIONBANK 30 OCT 110 PUT,UBILOPT,BSE,OPTSTK,UNIONBANK,863331
JUBLFOOD 30 OCT 570 PUT,JBFWOPT,BSE,OPTSTK,JUBLFOOD,863333
CHOLAFIN 25 SEP 1280 PUT,CIFLOPT,BSE,OPTSTK,CHOLAFIN,863334
BANKEX 30 OCT 54500 CALL,BKXOPT,BSE,OPTIDX,BANKEX,863335
SOLARINDS 25 SEP 12250 CALL,SOLAOPT,BSE,OPTSTK,SOLARINDS,863336
HAL 25 SEP 3700 PUT,HIALOPT,BSE,OPTSTK,HAL,863337
SENSEX50 30 OCT 24800 CALL,SX50OPT,BSE,OPTIDX,SENSEX50,863338
ABB 30 OCT 4700 PUT,ABBLOPT,BSE,OPTSTK,ABB,863339
DABUR 30 OCT 570 PUT,DABUOPT,BSE,OPTSTK,DABUR,863340
SOLARINDS 30 OCT 12250 PUT,SOLAOPT,BSE,OPTSTK,SOLARINDS,863341
OBEROIRLTY 30 OCT 1440 PUT,OBRLOPT,BSE,OPTSTK,OBEROIRLTY,863342
DRREDDY 30 OCT 1080 CALL,DRRLOPT,BSE,OPTSTK,DRREDDY,863343
KAYNES 30 OCT 7000 PUT,KTNLOPT,BSE,OPTSTK,KAYNES,863344
HINDUNILVR 25 SEP 2700 PUT,HULLOPT,BSE,OPTSTK,HINDUNILVR,863345
PNBHOUSING 25 SEP 820 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863346
PNBHOUSING 25 SEP 660 CALL,PNHFOPT,BSE,OPTSTK,PNBHOUSING,863347
INDUSINDBK 25 SEP 720 CALL,IIBKOPT,BSE,OPTSTK,INDUSINDBK,863349
TATASTEEL 30 OCT 137.5 CALL,TISCOPT,BSE,OPTSTK,TATASTEEL,863351
